Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.AdminOnlyPolicy,AdminOnlyPolicy,ExtlClntAppSamplePlcyCnfg,,AdminOnlyPolicy,Admin Only Policy,Admin Only Policy,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.CreatedBy,CreatedById,ExtlClntAppSamplePlcyCnfg,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.CreatedDate,CreatedDate,ExtlClntAppSamplePlcyCnfg,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.DeveloperName,DeveloperName,ExtlClntAppSamplePlcyCnfg,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.ExternalClientApplication,ExternalClientApplicationId,ExtlClntAppSamplePlcyCnfg,,ExternalClientApplication,External Client Application,External Client Application,参照関係(外部クライアントアプリケーション)  (ユニーク),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.ExtlClntAppSampleSettings,ExtlClntAppSampleSettingsId,ExtlClntAppSamplePlcyCnfg,,ExtlClntAppSampleSettings,External Client Application Sample Settings,External Client Application Sample Settings,参照関係(External Client App Sample Settings)  (ユニーク),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.Id,Id,ExtlClntAppSamplePlcyCnfg,,Id,External Client App Sample Policy Configurations ID,External Client App Sample Policy Configurations ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.IsDeleted,IsDeleted,ExtlClntAppSamplePlcyCnfg,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.Language,Language,ExtlClntAppSamplePlcyCnfg,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.LastModifiedBy,LastModifiedById,ExtlClntAppSamplePlcyCnfg,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.LastModifiedDate,LastModifiedDate,ExtlClntAppSamplePlcyCnfg,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.MasterLabel,MasterLabel,ExtlClntAppSamplePlcyCnfg,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.Policy1,Policy1,ExtlClntAppSamplePlcyCnfg,,Policy1,Policy One,Policy One,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.Policy2,Policy2,ExtlClntAppSamplePlcyCnfg,,Policy2,Policy Two,Policy Two,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamplePlcyCnfg.SystemModstamp,SystemModstamp,ExtlClntAppSamplePlcyCnfg,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
