Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.AccessLevel,AccessLevel,ConvCoachingRecommendationOwnerSharingRule,,AccessLevel,カスタムオブジェクトのアクセス権,カスタムオブジェクトのアクセス権,選択リスト,false,false,false,true,true,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.CreatedBy,CreatedById,ConvCoachingRecommendationOwnerSharingRule,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.CreatedDate,CreatedDate,ConvCoachingRecommendationOwnerSharingRule,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.Description,Description,ConvCoachingRecommendationOwnerSharingRule,,Description,説明,説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.DeveloperName,DeveloperName,ConvCoachingRecommendationOwnerSharingRule,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.Group,GroupId,ConvCoachingRecommendationOwnerSharingRule,,Group,グループ,グループ,参照関係(グループ),false,false,true,true,true,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.Id,Id,ConvCoachingRecommendationOwnerSharingRule,,Id,カスタムオブジェクト所有者ルール ID,カスタムオブジェクト所有者ルール ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.LastModifiedBy,LastModifiedById,ConvCoachingRecommendationOwnerSharingRule,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.LastModifiedDate,LastModifiedDate,ConvCoachingRecommendationOwnerSharingRule,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.Name,Name,ConvCoachingRecommendationOwnerSharingRule,,Name,名前,名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.Options,Options,ConvCoachingRecommendationOwnerSharingRule,,Options,__MISSING LABEL__ PropertyFile - val Options not found in section udd_CustomObjectOwnerSharingRule,__MISSING LABEL__ PropertyFile - val Options not found in section udd_CustomObjectOwnerSharingRule,ビットベクター,false,false,false,true,false,false
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.SystemModstamp,SystemModstamp,ConvCoachingRecommendationOwnerSharingRule,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ConvCoachingRecommendationOwnerSharingRule.UserOrGroup,UserOrGroupId,ConvCoachingRecommendationOwnerSharingRule,,UserOrGroup,ユーザー/グループ,ユーザー/グループ,参照関係(グループ),false,false,true,true,true,true
